127.0.0.1 - - [22/May/2020:19:04:05 +0900] "GET / HTTP/1.1" 200 158
0:0:0:0:0:0:0:1 - - [22/May/2020:19:04:06 +0900] "GET /ch09/googleMap/mapDesign2.jsp HTTP/1.1" 200 13115
0:0:0:0:0:0:0:1 - - [22/May/2020:19:04:07 +0900] "GET /favicon.ico HTTP/1.1" 404 761
0:0:0:0:0:0:0:1 - - [22/May/2020:19:04:07 +0900] "GET /ch09/googleMap/jsonMapList.jsp HTTP/1.1" 200 1025
0:0:0:0:0:0:0:1 - - [22/May/2020:19:04:30 +0900] "GET /ch09/googleMap/loginAction.jsp?mem_id=1&mem_pw=123 HTTP/1.1" 200 37
0:0:0:0:0:0:0:1 - - [22/May/2020:19:05:54 +0900] "GET /ch09/googleMap/cookieMake.jsp?c_name=%EA%B9%80%EC%B6%A9%EC%8B%9D HTTP/1.1" 200 11
0:0:0:0:0:0:0:1 - - [22/May/2020:19:05:55 +0900] "GET /ch09/googleMap/jsonMapList.jsp HTTP/1.1" 200 1025
0:0:0:0:0:0:0:1 - - [22/May/2020:20:43:59 +0900] "GET /ch09/googleMap/mapDesign2.jsp HTTP/1.1" 200 13176
0:0:0:0:0:0:0:1 - - [22/May/2020:20:43:59 +0900] "GET /ch09/googleMap/jsonMapList.jsp HTTP/1.1" 200 1025
0:0:0:0:0:0:0:1 - - [22/May/2020:20:43:59 +0900] "GET /ch09/googleMap/mapDesign2.jsp HTTP/1.1" 200 13176
0:0:0:0:0:0:0:1 - - [22/May/2020:20:43:59 +0900] "GET /ch09/googleMap/jsonMapList.jsp HTTP/1.1" 200 1025
0:0:0:0:0:0:0:1 - - [22/May/2020:20:44:15 +0900] "GET /ch09/googleMap/loginAction.jsp?mem_id=1&mem_pw=123 HTTP/1.1" 200 37
0:0:0:0:0:0:0:1 - - [22/May/2020:20:44:17 +0900] "GET /ch09/googleMap/cookieMake.jsp?c_name=%EA%B9%80%EC%B6%A9%EC%8B%9D HTTP/1.1" 200 11
0:0:0:0:0:0:0:1 - - [22/May/2020:20:44:17 +0900] "GET /ch09/googleMap/jsonMapList.jsp HTTP/1.1" 200 1025
0:0:0:0:0:0:0:1 - - [22/May/2020:20:44:58 +0900] "GET /ch09/googleMap/mapDesign2.jsp HTTP/1.1" 200 13179
0:0:0:0:0:0:0:1 - - [22/May/2020:20:44:58 +0900] "GET /ch09/googleMap/jsonMapList.jsp HTTP/1.1" 200 1025
0:0:0:0:0:0:0:1 - - [22/May/2020:20:45:02 +0900] "GET /ch09/googleMap/loginAction.jsp?mem_id=1&mem_pw=123 HTTP/1.1" 200 37
0:0:0:0:0:0:0:1 - - [22/May/2020:20:45:04 +0900] "GET /ch09/googleMap/cookieMake.jsp?c_name=%EA%B9%80%EC%B6%A9%EC%8B%9D HTTP/1.1" 200 11
0:0:0:0:0:0:0:1 - - [22/May/2020:20:45:04 +0900] "GET /ch09/googleMap/jsonMapList.jsp HTTP/1.1" 200 1025
0:0:0:0:0:0:0:1 - - [22/May/2020:20:45:24 +0900] "GET /ch09/googleMap/mapDesign2.jsp HTTP/1.1" 200 13221
0:0:0:0:0:0:0:1 - - [22/May/2020:20:45:24 +0900] "GET /ch09/googleMap/jsonMapList.jsp HTTP/1.1" 200 1025
0:0:0:0:0:0:0:1 - - [22/May/2020:20:45:26 +0900] "GET /ch09/googleMap/loginAction.jsp?mem_id=1&mem_pw=123 HTTP/1.1" 200 37
0:0:0:0:0:0:0:1 - - [22/May/2020:20:45:27 +0900] "GET /ch09/googleMap/cookieMake.jsp?c_name=%EA%B9%80%EC%B6%A9%EC%8B%9D HTTP/1.1" 200 11
0:0:0:0:0:0:0:1 - - [22/May/2020:20:45:28 +0900] "GET /ch09/googleMap/jsonMapList.jsp HTTP/1.1" 200 1025
0:0:0:0:0:0:0:1 - - [22/May/2020:20:48:12 +0900] "GET /ch09/googleMap/like.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/May/2020:20:48:12 +0900] "GET /ch09/googleMap/hate.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/May/2020:20:48:13 +0900] "GET /ch09/googleMap/likeAction.jsp?res_num=4 HTTP/1.1" 404 787
0:0:0:0:0:0:0:1 - - [22/May/2020:20:48:27 +0900] "GET /ch09/googleMap/jsonMapList.jsp HTTP/1.1" 200 1025
0:0:0:0:0:0:0:1 - - [22/May/2020:20:48:50 +0900] "GET /ch09/googleMap/likeAction.jsp?res_num=4 HTTP/1.1" 404 787
0:0:0:0:0:0:0:1 - - [22/May/2020:20:48:51 +0900] "GET /ch09/googleMap/hateAction.jsp?res_num=4 HTTP/1.1" 404 787
